country,year,gwno,ccode,ifscode,ifs,iso,gwabbrev,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,pop_WDI,pop_den_WDI,pop_urb_WDI,pop0_14_WDI,workingpop_WDI
Sierra Leone,2015,451,451,724,SLE,,SIE,6453184,3165700198,490.564068,-20.5987707,6453184,89.4040454,39.94,42.3629327,54.9675788
Ghana,2015,452,452,652,GHA,,GHA,27409893,46504846805,1696.64459,3.917221644,27409893,120.461866,54.04,38.817138,57.7887224
Togo,2015,461,461,742,TGO,,TOG,7304578,4045715351,553.860243,5.365887582,7304578,134.300018,39.96,42.2391273,54.9960997
Cameroon,2015,471,471,622,CMR,,CAO,23344179,30431210269,1303.58879,5.773247581,23344179,49.3837215,54.38,42.5226862,54.2717308
Nigeria,2015,475,475,694,NGA,,NIG,182201962,4.62E+11,2534.81638,2.652693623,182201962,200.05266,47.77,43.9891668,53.2741134
Gabon,2015,481,481,646,GAB,,GAB,1725292,18550226878,10751.9346,4.012827565,1725292,6.69574261,87.15,37.1269327,57.7681343
Central African Republic,2015,482,482,626,CAF,,CEN,4900274,1431687441,292.164773,4.799886081,4900274,7.86586086,40.03,39.0526121,57.0919299
Chad,2015,483,483,628,TCD,,CHA,14037472,13359255855,951.685307,1.799999521,14037472,11.1479288,22.47,47.7203373,49.8289221
Congo,2015,484,484,634,COG,,CON,4620330,14614902201,3163.1728,2.646447935,4620330,13.5295168,65.38,42.6307211,53.7084364
"Congo, Democratic Republic of (Zaire)",2015,490,490,636,ZAR,,DRC,77266814,29709613590,384.506776,6.91618781,77266814,34.0825363,42.49,45.9929356,51.0431283
Uganda,2015,500,500,746,UGA,,UGA,39032383,26261325125,672.808655,5.143837727,39032383,194.655809,16.1,48.0906559,49.4204542
Kenya,2015,501,501,664,KEN,,KEN,46050302,52196109596,1133.45857,5.649197078,46050302,80.9120813,25.62,41.9090628,55.288493
Tanzania/Tanganyika,2015,510,510,738,TZA,,TAZ,53470420,43728244107,842.373754,6.959374422,53470420,60.3639873,31.6,45.198693,51.5993384
Zanzibar,2015,511,511,,,,ZAN,,,,,,,,,
Burundi,2015,516,516,618,BDI,,BUI,11178921,2310810954,206.711448,-3.90491935,11178921,435.316238,12.05,44.8013184,52.7274054
Rwanda,2015,517,517,714,RWA,,RWA,11609666,8007052596,689.688454,6.904203115,11609666,470.59854,28.81,41.0520164,56.1581272
Somalia,2015,520,520,726,SOM,,SOM,10787104,,,,10787104,17.1949883,39.55,46.7050656,50.4708956
Djibouti,2015,522,522,611,DJI,,DJI,887861,1465243952,1650.30782,6.500508308,887861,38.3028904,77.34,32.7354169,63.0780043
Ethiopia,2015,530,530,644,ETH,,ETH,99390750,48330591495,486.268505,9.607518001,99390750,99.39075,19.47,41.4402275,55.0758818
Eritrea,2015,531,531,643,ERI,,ERI,,,,,,,,,
Angola,2015,540,540,614,AGO,,ANG,25021974,1.04E+11,4153.14625,3.006980545,25021974,20.0705654,44.05,47.6504411,50.0360882
