"country","cases*","cases*_lag1","cases*_lag2","cases*_lag3","cases*_lag4","cases*_lag5","cases*_lag6","cases*_lag7","cases*_lag8","cases*_lag9"
"RU",0.0085778006402876,-0.00250305196379329,0.00165814193153873,0.0156802233689596,-0.0176205754099152,0.00178132547255691,0.0217756675408906,0.0150878513344541,-0.00216410250885297,0.00767286878174525
"SA",-0.00962734281044915,0.00149594633119241,-0.000785335695690581,-0.00123362519877845,-0.0874232669738861,-0.00162057560992054,0.00126514267020516,-0.0250239400320219,-0.00811340004474736,0.00561059637088588
"SG",-0.000519394788495869,-0.00359091856541422,0.00221804638347164,0.00345128903563154,-0.00149443680409066,0.0111399523476269,-0.00316308174027177,-0.00708112053271644,0.00548125109341847,0.00388507878456068
"SK",0.000557298688516583,0.00798312973142532,-0.000128432305736188,-0.000332788485246102,-0.000795707776049112,0.000469359657977067,0.00000510035125235881,0.000705078414969905,-0.0012229825956988,0.000569954035589339
"SI",0.00208150925053733,-0.0000409399223881945,-0.0000221064484061008,0.000140634386871903,-0.000202579490122233,0.000390005699737618,0.00010376534653668,-0.0000533596584902846,0.0000798264965390204,-0.00000629400493471633
"SE",0.0050562886300923,0.00487620155575011,0.00414255615706779,-0.00560046783273216,0.00468310135916612,0.00311952565599974,0.0101491778598142,0.000596216840313138,0.0083947917857564,0.00190709042377992
"TH",0.000659544235164906,-0.000465474561082349,0.000159666112485573,-0.000596456694043096,0.000407546478617843,-0.000564260162049121,-0.000348199897923631,0.000347763122036507,-0.000172082878843827,-0.000238148694750132
"TR",0.00469343438398815,-0.00633362785599888,-0.00695336810085075,-0.00152829169985403,0.0215218357974515,-0.0191434779368275,-0.00550557693236975,-0.00492374901461494,0.0256784904587209,-0.00358517379379726
"UA",-0.00115579144459575,0.00265697100016602,0.00712256160775935,-0.0019458171257937,0.00187621842012531,-0.00161623422802497,-0.000512974154108835,0.00219366565606818,0.000672980066243977,0.0312492057848374
"UY",0.000278061904037924,0.000033704689685912,-0.000022521194393312,-0.0000509368800042262,-0.0000301308146899125,0.0000312914563680013,-0.0000399092449314217,0.0000202630846220098,0.0000223693607793064,0.0000090843026582406
"US",2.06457747935296,0.444317665808473,-0.00984725408170078,0.114927363252367,-0.0340065673095625,-2.27000004752072,0.0602377422617961,1.86261339749639,3.26622411343162,0.0135896251950449
"VN",0.000736422401787362,-0.000549696305431115,0.0001411649089773,0.00054379210767578,0.00115656590088426,-0.000844924925279109,0.000596397870661405,-0.000559782014430668,0.0000505806231744844,-0.00000196515211789652
"ZA",0.0218345817084046,0.0204054418128961,0.0200572299665737,-0.00569441712158891,-0.0129108784097575,-0.00271230817711583,-0.00884464574463317,0.00357526106401189,0.00762089252689187,0.00625846793710229
